Ekran Boyutu,Ekran KartÄ±,Ekran Kartı,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Garanti Tipi,Hard Disk Kapasitesi,KullanÄ±m AmacÄ±,Kullanım Amacı,Ram (Sistem BelleÄŸi),Ram (Sistem Belleği),SSD Kapasitesi,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ä°ÅŸlemci Tipi,Ä°ÅŸletim Sistemi,Çözünürlük,İşlemci Tipi,İşletim Sistemi,url,price
,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a5-v17-3-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674248329,30.199 TL
"15,6 inç",,AMD Radeon Graphics,,,,,,Ofis - İş,,8 GB,256 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284,10.399 TL
14 inç,,Dahili Ekran Kartı,,,,,,Ofis - İş,,32 GB,1 TB,,,,3024 x 1964,M2,Mac Os,https://www.trendyol.com//apple/macbook-pro-14-m2-max-32gb-1tb-ssd-space-gray-laptop-apple-turkiye-garantili-mphg3tu-a-p-637235159?advertItems=eyJhZHZlcnRJZCI6IjA3MmU4ZWE1LTA1YjEtNGU2ZC05MmYwLTg4ZmE0MDJjNWJlNyIsInNvcnRpbmdTY29yZSI6MC4xMDg5NzI3Mjc1MDczNTI4MywiYWRTY29yZSI6MC4wNDk1MzMwNTc5NTc4ODc2NSwiYWRTY29yZXMiOnsiMSI6MC4wNDk1MzMwNTc5NTc4ODc2NSwiMiI6MC4wNDk1MzMwNTc5NTc4ODc2NX0sImNwYyI6Mi4yLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMTUxNDk2MTkzOTIwMDA4MywiYWR2ZXJ0U2xvdCI6Niwib3JkZXIiOjIzLCJhdHRyaWJ1dGVzIjoiIn0=,104.999 TL
"15,6 inç",,AMD Radeon Vega 8,,,Resmi Distribütör Garantili,,,,,32 GB,512 GB,,,,1920 x 1080,AMD Ryzen 7,Windows,https://www.trendyol.com//hp/255-g8-amd-ryzen-7-5700u-32gb-512gb-ssd-windows-10-home-15-6-fhd-t-bilgisayar-4p3m4es6-p-374782631,"14.849,01 TL"
"15,6 inç",,Dahili Ekran Kartı,,,Resmi Distribütör Garantili,,,,,8 GB,256 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//hp/255-g8-ryzen-5-5500-8-gb-ram-256-gb-ssd-15-6-freedos-7n4w6aa-p-654410636,"10.999,99 TL"
"15,6 inç",,Dahili Ekran Kartı,,,Resmi Distribütör Garantili,,,,,4 GB,128 GB,,,,1920 x 1080,Intel Celeron,Windows,https://www.trendyol.com//lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201,6.621 TL
16 inç,,Nvidia GeForce RTX 4060,,165 Hz,,,,,,32 GB,1 TB,,,,2560 x 1600,Intel Core i7,Free Dos,https://www.trendyol.com//casper/excalibur-g911-1370-dfb0x-c-intel-core-i7-13700hx-32gb-ddr5-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672182432?advertItems=eyJhZHZlcnRJZCI6IjZmNDM1ODBmLTUwZDgtNDM2ZC1iMTQzLTUyNGI1NTVkYzgxMSIsInNvcnRpbmdTY29yZSI6MC4xMDU1Nzk1MjYxNjM2Mzc2NSwiYWRTY29yZSI6MC4wMzc3ODc5NDc4MDM3MzU3MywiYWRTY29yZXMiOnsiMSI6MC4wMzc3ODc5NDc4MDM3MzU3MywiMiI6MC4wMzc3ODc5NDc4MDM3MzU3M30sImNwYyI6Mi43OTQwMDAwMDAwMDAwMDA1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuNzk0MDAwMDAwMDAwMDAwNSwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjMsImF0dHJpYnV0ZXMiOiIifQ==,48.999 TL
"15,6 inç",,Nvidia GeForce RTX 2050,,144 Hz,,,,,,8 GB,512 GB,,,,1920 x 1080,Intel Core i5,Free Dos,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686,21.949 TL
"15,6 inç",,AMD Radeon RX6500M,,144 Hz,,,,,,16 GB,512 GB,,,,1920 x 1080,AMD Ryzen 5,Free Dos,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0015nt-r5-5600h-16gb-512gb-ssd-rx6500m-dos-15-6-fhd-144hz-7j3t4ea-p-467360063,22.799 TL
"15,6 inç",,Dahili Ekran Kartı,,,,,,Ev - Okul,,4 GB,128 GB,,,,1920 x 1080,Intel Celeron,Windows,https://www.trendyol.com//asus/x515ma-ej954w-intel-n4020-4gb-ram-128gb-ssd-15-6-inc-fhd-windows-11-home-p-775782173,8.699 TL
